cat /sys/kernel/fvm/bec
bec_pba_page_count cat /sys/kernel/fvm/dedupe
Total Logical  Space  cat /sys/kernel/fvm/fec
FEC Active Count   dmesg
[18872.693150] cwtf:pba_index = 202840, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18872.705211] cwtf:pba_index = 62100, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.779813] cwtf:pba_index = 128878, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.807127] cwtf:pba_index = 5978, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 195648
[18872.814663] cwtn:pba_index = 195648, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18872.818900] cwtf:pba_index = 213782, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 209825
[18872.825924] cwtn:pba_index = 209825, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18872.833585] cwtf:pba_index = 188952, retry_cnt=0, diskr_cnt = 0, Tag = 102, Next pba_index = 0
[18872.839835] cwtf:pba_index = 133595, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.858377] cwtf:pba_index = 218324, retry_cnt=0, diskr_cnt = 1, Tag = 105, Next pba_index = 135916
[18872.868055] cwtn:pba_index = 135916, retry_cnt=1, diskr_cnt = 2, Tag = 106, Next pba_index = 0
[18872.877178] cwtf:pba_index = 22904, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 35379
[18872.884036] cwtn:pba_index = 35379, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18872.965679] cwtf:pba_index = 170167, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18872.982598] cwtf:pba_index = 142969, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.002266] cwtf:pba_index = 52991, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 210084
[18873.006886] cwtn:pba_index = 210084, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 94475
[18873.016944] cwtn:pba_index = 94475, retry_cnt=2, diskr_cnt = 3, Tag = 105, Next pba_index = 0
[18873.026152] cwtf:pba_index = 213344, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 50109
[18873.034386] cwtn:pba_index = 50109, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18873.042007] cwtf:pba_index = 72673, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18873.065131] cwtf:pba_index = 93612, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.088607] cwtf:pba_index = 160795, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.106178] cwtf:pba_index = 131817, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.177321] cwtf:pba_index = 117538, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 52403
[18873.188034] cwtn:pba_index = 52403, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18873.195187] cwtf:pba_index = 143529, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18873.212642] cwtf:pba_index = 7036, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.234058] cwtf:pba_index = 204339, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.248111] cwtf:pba_index = 217074, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.255604] cwtf:pba_index = 141048, retry_cnt=0, diskr_cnt = 0, Tag = 102, Next pba_index = 29253
[18873.265718] cwtn:pba_index = 29253, retry_cnt=1, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18873.280393] cwtf:pba_index = 159341, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18873.293087] cwtf:pba_index = 164893, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18873.307590] cwtf:pba_index = 22813, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.370018] cwtf:pba_index = 16513, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.385764] cwtf:pba_index = 21859, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.397111] cwtf:pba_index = 64342, retry_cnt=0, diskr_cnt = 1, Tag = 105, Next pba_index = 0
[18873.409610] cwtf:pba_index = 178289, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 162861
